"Name","ID","State","Runtime","N_sensors","T","steps","Best sensor location","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"dutiful-sweep-28","gjmxvq7r","failed","50430","50","0.03","10000","{""_type"":""histogram"",""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309],""values"":[1,2,2,1,2,1,0,1,3,1,1,1,2,2,3,3,2,1,0,1,3,3,0,0,2,3,3,0,0,3,2,1]}","0.014616711996495724","0","8167","181","1622","30"
"trim-sweep-27","5k6chvqr","failed","50888","50","0.02","10000","{""values"":[1,2,2,1,2,1,0,1,3,1,1,1,2,2,3,3,2,1,0,1,3,3,0,0,2,3,3,0,0,3,2,1],""_type"":""histogram"",""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309]}","0.014616711996495724","0.7783874273300171","8063","179","1702","56"
"peach-sweep-26","2e8kcf1e","failed","53691","50","0.01","10000","{""values"":[4,1,1,3,0,2,1,1,0,2,1,4,3,3,1,0,2,1,1,1,3,1,1,2,2,2,0,1,1,1,3,1],""_type"":""histogram"",""bins"":[15,24.21875,33.4375,42.65625,51.875,61.09375,70.3125,79.53125,88.75,97.96875,107.1875,116.40625,125.625,134.84375,144.0625,153.28125,162.5,171.71875,180.9375,190.15625,199.375,208.59375,217.8125,227.03125,236.25,245.46875,254.6875,263.90625,273.125,282.34375,291.5625,300.78125,310]}","0.01914251409471035","1.0000218152999878","8193","184","1534","89"
"sage-sweep-25","xpj3nc2n","failed","59734","25","0.1","10000","[140,64,66,101,304,12,133,220,227,72,265,116,252,110,290,267,142,169,272,113,139,108,80,93,8]","0.024769991636276245","1.0024951696395874","9238","0","742","20"
"fluent-sweep-24","yiv481r6","failed","95022","25","0.09","10000","[51,296,279,161,234,111,243,172,195,169,80,201,220,112,56,20,171,17,203,239,123,214,15,291,165]","0.02440466172993183","0.9999948740005492","9113","0","860","27"
"giddy-sweep-23","tw6ovg4z","failed","104938","25","0.08","10000","[178,300,68,129,234,201,69,136,135,55,243,207,165,247,271,48,139,83,128,259,216,111,30,116,309]","0.023932427167892456","0.9999850988388062","9142","0","820","38"
"worldly-sweep-22","wr9prco3","failed","107997","25","0.07","10000","[64,160,81,192,15,129,108,124,162,32,135,36,63,49,279,222,80,136,300,140,210,239,243,42,165]","0.025554493069648743","0.9951220750808716","9126","0","822","52"
"different-sweep-21","o85rg100","failed","109515","25","0.06","10000","[99,178,71,179,280,92,288,243,11,170,111,220,209,94,93,22,106,303,20,55,158,195,40,205,123]","0.02484213188290596","1.0000008344650269","9243","0","710","47"
"tough-sweep-20","md5ezadt","failed","109551","25","0.05","10000","[233,299,291,164,220,263,49,168,55,116,161,60,150,135,303,74,176,37,246,122,0,266,239,112,208]","0.027174144983291623","0.9999808669090272","9171","0","751","78"
"vibrant-sweep-19","07bvxp96","failed","109241","25","0.04","10000","[124,129,171,133,36,223,46,48,146,274,122,220,262,91,172,285,0,89,136,190,164,17,213,178,147]","0.0225612111389637","0.9999603629112244","9162","0","768","70"
"easy-sweep-18","7h1c245z","failed","106295","25","0.03","10000","[77,150,164,302,151,132,87,11,191,279,121,295,93,111,257,284,188,300,0,89,76,210,136,218,38]","0.022662991657853127","0.9988075494766236","9219","0","691","90"
"unique-sweep-17","vqmk43p7","failed","104322","25","0.02","10000","[186,193,72,230,175,271,97,172,146,229,194,125,291,296,180,123,267,50,249,227,79,135,143,142,199]","0.026113850995898247","0.9978408813476562","9060","0","787","153"
"dainty-sweep-16","sa8xzaur","failed","104946","25","0.01","10000","[143,298,45,121,245,117,43,140,106,241,220,21,195,108,181,15,192,16,94,285,203,72,260,101,80]","0.024782557040452957","0","9026","0","748","226"
"warm-sweep-15","drrhh38p","failed","114041","10","0.1","10000","[222,7,39,111,139,175,288,121,220,66]","0.0390496626496315","1.2741998434066772","9623","0","247","130"
"denim-sweep-14","0v2auu6s","failed","96988","10","0.09","10000","[154,143,169,289,29,249,124,111,126,255]","0.04287859424948692","0.99689918756485","9572","0","301","127"
"chocolate-sweep-13","r0nf27ny","failed","96612","10","0.08","10000","[213,299,17,111,91,220,232,121,233,128]","0.03196076303720474","0.9939518570899964","9601","0","266","133"
"warm-sweep-12","ijvy66x1","failed","97442","10","0.07","10000","[299,233,220,66,111,196,139,123,217,112]","0.03435593843460083","1.0111957788467407","9557","0","247","196"
"hardy-sweep-11","w4nzv9kc","failed","97387","10","0.06","10000","[191,15,140,68,36,203,93,178,116,111]","0.03618998825550079","0.9980841279029846","9522","0","322","156"
"fancy-sweep-9","h626xcio","failed","107501","10","0.02","10000","[256,111,266,271,9,102,148,116,93,129]","0.03793663531541824","0.981075882911682","9265","0","254","481"
"sleek-sweep-8","x6hw98zt","failed","105512","10","0.01","10000","[111,207,290,121,60,90,210,49,152,102]","0.027452712878584865","0.7565646171569824","8672","0","287","1041"
